2024-12-03 18:46:57.328 [info] Starting Python Locator /home/fabian/.vscode/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-12-03 18:46:58.033 [info] Discovered env: /bin/python
2024-12-03 18:46:58.039 [info] Discovered env: /usr/bin/python
2024-12-03 18:46:58.041 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-03 18:46:58.041 [info] Discovered env: /usr/sbin/python
2024-12-03 18:46:58.053 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-03 18:46:58.053 [info] Discovered env: /sbin/python
2024-12-03 18:46:58.055 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-03 18:46:58.055 [info] Discovered env: /usr/sbin/python3
2024-12-03 18:46:58.057 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-03 18:46:58.057 [info] Discovered env: /sbin/python3
2024-12-03 18:46:58.059 [info] Env ("/usr/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-12-03 18:46:58.059 [info] Discovered env: /usr/sbin/python3.12
2024-12-03 18:46:58.061 [info] Env ("/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-12-03 18:46:58.061 [info] Discovered env: /sbin/python3.12
2024-12-03 18:46:58.064 [info] Locator Conda took 81.967529ms
2024-12-03 18:46:58.064 [info] Locator Homebrew took 56.239µs
2024-12-03 18:46:58.064 [info] Locator LinuxGlobal took 82.184737ms
2024-12-03 18:46:58.064 [info] Locator PipEnv took 35µs
2024-12-03 18:46:58.064 [info] Locator Poetry took 176.669µs
2024-12-03 18:46:58.064 [info] Locator PyEnv took 173.978µs
2024-12-03 18:46:58.064 [info] Locator Venv took 13.06µs
2024-12-03 18:46:58.064 [info] Locator VirtualEnv took 13.949µs
2024-12-03 18:46:58.064 [info] Locator VirtualEnvWrapper took 11.29µs
2024-12-03 18:46:58.064 [info] Locator GlobalVirtualEnvs took 150.699µs
2024-12-03 18:46:58.064 [info] Locator Locators took 83.037519ms
2024-12-03 18:46:58.064 [info] Locator Path took 212.072345ms
2024-12-03 18:46:58.064 [info] Locator Workspaces took 40.25µs
2024-12-03 18:46:58.064 [info] Refresh completed in 212ms
2024-12-03 18:46:58.065 [info] Resolved Python Environment /usr/bin/python
