2024-12-03 18:56:13.066 [info] Starting Python Locator /home/fabian/.vscode/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-12-03 18:56:13.189 [info] Discovered env: /bin/python
2024-12-03 18:56:13.536 [info] Discovered env: /usr/bin/python
2024-12-03 18:56:13.841 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-03 18:56:13.842 [info] Discovered env: /sbin/python
2024-12-03 18:56:13.845 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-03 18:56:13.854 [info] Discovered env: /usr/sbin/python
2024-12-03 18:56:13.857 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-03 18:56:13.857 [info] Discovered env: /usr/sbin/python3
2024-12-03 18:56:13.859 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-03 18:56:13.859 [info] Discovered env: /sbin/python3
2024-12-03 18:56:13.862 [info] Env ("/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-12-03 18:56:13.862 [info] Discovered env: /sbin/python3.12
2024-12-03 18:56:13.864 [info] Env ("/usr/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-12-03 18:56:13.864 [info] Discovered env: /usr/sbin/python3.12
2024-12-03 18:56:13.867 [info] Locator Conda took 81.49718ms
2024-12-03 18:56:13.867 [info] Locator Homebrew took 40.169µs
2024-12-03 18:56:13.867 [info] Locator LinuxGlobal took 83.567304ms
2024-12-03 18:56:13.867 [info] Locator PipEnv took 144.789µs
2024-12-03 18:56:13.867 [info] Locator Poetry took 178.428µs
2024-12-03 18:56:13.867 [info] Locator PyEnv took 352.018µs
2024-12-03 18:56:13.867 [info] Locator Venv took 16.56µs
2024-12-03 18:56:13.867 [info] Locator VirtualEnv took 11.9µs
2024-12-03 18:56:13.867 [info] Locator VirtualEnvWrapper took 17.65µs
2024-12-03 18:56:13.867 [info] Locator GlobalVirtualEnvs took 181.449µs
2024-12-03 18:56:13.867 [info] Locator Locators took 84.438307ms
2024-12-03 18:56:13.867 [info] Locator Path took 220.785589ms
2024-12-03 18:56:13.867 [info] Locator Workspaces took 1.42µs
2024-12-03 18:56:13.867 [info] Refresh completed in 221ms
2024-12-03 18:56:13.869 [info] Resolved Python Environment /usr/bin/python
