2024-12-17 23:46:10.628 [info] Starting Python Locator /home/fabian/.vscode/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-12-17 23:46:10.652 [info] Discovered env: /bin/python
2024-12-17 23:46:10.749 [info] Discovered env: /usr/bin/python
2024-12-17 23:46:11.156 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-17 23:46:11.214 [info] Discovered env: /sbin/python
2024-12-17 23:46:11.253 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-17 23:46:11.254 [info] Discovered env: /usr/sbin/python
2024-12-17 23:46:11.314 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-17 23:46:11.323 [info] Discovered env: /sbin/python3
2024-12-17 23:46:11.325 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-17 23:46:11.325 [info] Discovered env: /usr/sbin/python3
2024-12-17 23:46:11.327 [info] Env ("/usr/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-12-17 23:46:11.327 [info] Discovered env: /usr/sbin/python3.12
2024-12-17 23:46:11.328 [info] Env ("/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-12-17 23:46:11.329 [info] Discovered env: /sbin/python3.12
2024-12-17 23:46:11.331 [info] Locator Conda took 115.215747ms
2024-12-17 23:46:11.331 [info] Locator Homebrew took 229.948µs
2024-12-17 23:46:11.331 [info] Locator LinuxGlobal took 136.125491ms
2024-12-17 23:46:11.331 [info] Locator PipEnv took 54.53µs
2024-12-17 23:46:11.331 [info] Locator Poetry took 182.469µs
2024-12-17 23:46:11.331 [info] Locator PyEnv took 870.214µs
2024-12-17 23:46:11.331 [info] Locator Venv took 9.94µs
2024-12-17 23:46:11.331 [info] Locator VirtualEnv took 11.91µs
2024-12-17 23:46:11.331 [info] Locator VirtualEnvWrapper took 12.76µs
2024-12-17 23:46:11.331 [info] Locator GlobalVirtualEnvs took 107.269µs
2024-12-17 23:46:11.331 [info] Locator Locators took 136.900946ms
2024-12-17 23:46:11.331 [info] Locator Path took 260.030832ms
2024-12-17 23:46:11.331 [info] Locator Workspaces took 1.64µs
2024-12-17 23:46:11.331 [info] Refresh completed in 260ms
2024-12-17 23:46:11.332 [info] Resolved Python Environment /usr/bin/python
